Variant,p-value,AF_AFR,AF_AMR,AF_EAS,AF_EUR,AF_SAS,AC_AFR,AC_AMR,AC_EAS,AC_EUR,AC_SAS,RC_AFR,RC_AMR,RC_EAS,RC_EUR,RC_SAS
22:16644797,1.484e-46,0.4652,0.8516,0.756,0.8181,0.8098,615,591,762,823,792,707,103,246,183,186
22:16644857,4.333e-25,0.0189,0.1369,0.1528,0.169,0.1421,25,95,154,170,139,1297,599,854,836,839
22:16645749,4.333e-25,0.0189,0.1369,0.1538,0.169,0.1431,25,95,155,170,140,1297,599,853,836,838
22:16646091,8.813e-28,0.3048,0.7565,0.5288,0.7654,0.5511,403,525,533,770,539,919,169,475,236,439
22:16646656,6.478e-59,0.1846,0.611,0.621,0.6412,0.5031,244,424,626,645,492,1078,270,382,361,486
22:16647056,1.071e-39,0.1921,0.0115,0.0,0.0,0.0,254,8,0,0,0,1068,686,1008,1006,978
22:16647426,2.147e-59,0.1823,0.5908,0.6131,0.6412,0.501,241,410,618,645,490,1081,284,390,361,488
22:16647946,7.276e-37,0.3994,0.6945,0.8016,0.6849,0.728,528,482,808,689,712,794,212,200,317,266
22:16648057,1.071e-39,0.1921,0.0115,0.0,0.0,0.0,254,8,0,0,0,1068,686,1008,1006,978
22:16648278,5.756e-60,0.1831,0.5951,0.62,0.6461,0.5041,242,413,625,650,493,1080,281,383,356,485
22:16652333,4.188e-49,0.388,0.8242,0.6935,0.8042,0.7618,513,572,699,809,745,809,122,309,197,233
